,교과목명,주담당교수
0,대학 글쓰기 1,박형진
1,대학 글쓰기 1,허윤
2,대학 글쓰기 1,김진규
4,대학 글쓰기 1,노태훈
5,대학 글쓰기 1,김동은
6,대학 글쓰기 1,차익종
8,대학 글쓰기 1,나민애
9,대학 글쓰기 1,안리경
11,대학 글쓰기 1,장두영
12,대학 글쓰기 1,조연정
13,대학 글쓰기 1,안순태
14,대학 글쓰기 1,김승민
15,대학 글쓰기 1,허선애
16,대학 글쓰기 1,유연주
17,대학 글쓰기 1,이은주
20,대학 글쓰기 1,채윤미
23,대학 글쓰기 1,노연숙
26,대학 글쓰기 1,신용남
27,대학 글쓰기 1,김민조
28,대학 글쓰기 1,김정현
29,대학 글쓰기 1,박미란
32,대학 글쓰기 1,이주영
34,대학 글쓰기 1,송아름
35,대학 글쓰기 1,이수향
36,대학 글쓰기 1,양근애
42,대학 글쓰기 1,이지은
43,대학 글쓰기 1,유정열
44,대학 글쓰기 1,김명운
45,대학 글쓰기 1,홍승진
47,대학 글쓰기 1,서여진
55,대학 글쓰기 1,김영연
60,대학 글쓰기 1,이행미
61,대학 글쓰기 1,윤준섭
67,대학 글쓰기 1,이의종
69,대학 글쓰기 1,한경희
79,핀란드어 1,정도상
80,히브리어 1,김동혁
81,독문강독,이호성
82,기초영어,박여선
83,기초영어,백혜정
84,기초영어,송미경
85,기초영어,윤지혜
86,기초영어,박채윤
87,기초영어,조충환
88,기초영어,오세인
89,기초영어,이정진
90,기초영어,장미정
92,기초영어,한예림
93,기초영어,박은정
94,기초영어,장은영
97,기초영어,여미영
98,기초영어,유이나
99,기초영어,황세희
102,수학 1,김영원
103,수학 1,이승진
104,수학 1,김병일
105,수학 1,최영기
106,수학 1,박정필
107,수학 1,김대용
108,수학 1,김명재
109,수학 1,최형규
111,수학 1,김동운
112,수학 1,정경훈
114,수학 1,마대건
115,수학 1,남계숙
116,수학 1,박경배
118,수학 1,김영득
122,수학 1,최혜경
123,수학 1,김지영
126,수학 1,김인균
128,수학 1,국웅
129,수학연습 1,김영원
130,수학연습 1,이승진
131,수학연습 1,강명주
132,수학연습 1,강정수
133,수학연습 1,최영기
134,수학연습 1,계승혁
135,수학연습 1,변순식
136,수학연습 1,이기암
137,수학연습 1,이인석
138,수학연습 1,김영훈
139,수학연습 1,최형규
140,수학연습 1,강은지
141,수학연습 1,김지영
142,수학연습 1,김동운
143,수학연습 1,김병일
152,수학연습 1,김대용
154,수학연습 1,정경훈
156,수학연습 1,마대건
165,수학연습 1,김영득
168,수학연습 1,박정필
169,수학연습 1,남계숙
170,수학연습 1,서인석
174,수학연습 1,김인균
177,수학연습 1,국웅
178,수학 2,김수연
179,수학연습 2,김수연
180,수학연습 2,김동운
181,고급수학 1,김우찬
183,고급수학 1,Atanas Iliev
184,고급수학연습 1,김우찬
185,고급수학연습 1,임선희
188,고급수학연습 1,Atanas Iliev
190,미적분학 1,김다노
191,미적분학 1,David Donghoon Hyeon
192,미적분학연습 1,남계숙
193,미적분학연습 1,천상민
195,미적분학연습 1,김영득
197,미적분학연습 1,김우찬
198,고급화학,송윤주
199,과학 계산을 위한 컴퓨터 활용,김임범
200,인공지능 입문,장병탁
201,동서양 명작 읽기,조시정
202,동서양 명작 읽기,박정준
203,영어 대중소설 읽기,유두선
204,영어 대중소설 읽기,정상준
205,미디어 언어의 이해,장소원
206,한국문학과 세계문학,손유경
207,한국문학과 여행,이종묵
208,한국 문학의 깊이와 상상력,박이정
209,중국인의 언어와 문화,신미경
210,문학으로 읽는 서양문명,김현진
211,프랑스 문학으로 읽는 사랑,신은영
212,한국의 명문장,이종묵
213,이중언어사용,양수경
214,현대미술의 이해,이은주
215,예술의 가치와 비평,조선우
216,예술의 가치와 비평,최근홍
217,음악과 사회,민은기
218,음악과 사회,박지용
219,공연예술의 이해,남상식
221,공연예술의 이해,전예완
223,공연예술의 이해,이수완
225,미술론입문,정수경
226,미술론입문,조주연
227,대중예술의 이해,신혜경
228,대중예술의 이해,양효실
229,대중예술의 이해,김정현
230,대중예술의 이해,계영경
231,대중예술의 이해,김상민
232,대중예술의 이해,민현준
233,영상예술의 이해,윤혜경
234,영상예술의 이해,최연희
235,영상예술의 이해,민현준
236,영상예술의 이해,임혜은
237,영상예술의 이해,인원근
238,도덕적 추론,강상진
239,중국의 전통과 현대,하주형
240,법과 가치,손제연
241,한국 근대사회와 민족운동,윤현상
242,한국 근대사회와 민족운동,장원아
243,한국문화와 불교,양혜원
244,한국사 속의 유학,이재경
245,동아시아의 역사분쟁,송기호
246,한국고대사의 쟁점,박주선
247,규장각과 한국문화,김경숙
248,규장각과 한국문화,김소라
249,불교철학의 이해,김재성
250,불교철학의 이해,조석효
251,조선의 역사적 성취와 유산,백승아
253,한국 중세의 사회와 문화,오희은
254,일본의 인물과 역사,박완
255,동아시아의 왕권,김용찬
256,이슬람 문명의 역사,조원희
